Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sept,Oct,Nov,Dec,I Qtr.,II Qtr.,III Qtr.,IV Qtr.,Year.1,Date
1970,3033.7,2652.1,2830.6,2898.8,2816.9,2957.4,2994.1,2868.1,3086.7,3141.5,2773.7,2971.3,8516.4,8673.1,8948.9,8886.5,35024.9,1970-01-01
1971,2921.2,2619.4,3046.6,2888.5,2873.2,3155.0,3067.6,3071.0,3140.1,3009.0,2923.5,2870.0,8587.2,8916.7,9278.7,8802.5,35585.1,1971-01-01
1972,2888.4,2772.6,3037.3,2761.9,3117.7,3142.3,2758.4,3214.8,3041.5,3192.0,2985.3,2866.4,8698.3,9021.9,9014.7,9043.7,35778.6,1972-01-01
1973,3104.7,2672.8,2884.1,2407.2,2953.5,2794.4,2691.7,2696.6,2608.9,3152.0,2955.3,2765.6,8661.6,8155.1,7997.2,8872.9,33686.8,1973-01-01
1974,3090.8,2546.9,2876.4,2901.4,3050.2,2865.9,3104.6,3169.4,3088.6,3605.0,3277.8,3234.5,8514.1,8817.5,9362.6,10117.3,36811.5,1974-01-01
1975,3516.0,3083.7,3132.7,3207.8,3149.2,3193.5,3401.2,3467.3,3671.5,3986.8,3470.0,3631.5,9732.4,9550.5,10540.0,11088.3,40911.2,1975-01-01
1976,3761.0,3336.7,3814.8,3350.6,3242.5,3577.6,3484.4,3676.1,3748.8,3659.8,3491.9,3510.2,10912.5,10170.7,10909.3,10661.9,42654.4,1976-01-01
1977,3547.2,3301.0,3618.0,3264.5,3300.1,3628.4,3307.5,3749.9,3571.7,3556.2,3541.8,3470.1,10466.2,10193.0,10629.1,10568.1,41856.4,1977-01-01
1978,3469.0,3269.7,3470.1,3180.2,3436.2,3260.5,3061.8,3457.6,3223.1,3408.1,3268.8,3047.0,10208.8,9876.9,9742.5,9723.9,39552.1,1978-01-01
1979,3307.1,2736.6,2852.6,2532.8,2792.6,2718.5,2662.5,3034.3,2550.9,3038.4,2798.4,2652.8,8896.3,8043.9,8247.7,8489.6,33677.5,1979-01-01
1980,2928.4,2646.3,2570.7,2714.9,2780.0,2698.1,2837.8,2852.0,2925.4,3219.7,2705.0,2928.4,8145.4,8193.0,8615.2,8853.1,33806.7,1980-01-01
1981,3005.3,2659.2,2921.7,2811.3,2755.5,2929.0,2920.5,2934.2,3024.1,3125.6,2854.6,3012.4,8586.2,8495.8,8878.8,8992.6,34953.4,1981-01-01
